evidence,handicap,komi,w_id,w_mu,w_cat,l_id,l_mu,l_cat
0.9999847952245542,3,0.5,7,2.49555,1d,15,-3.89512,3k
0.9987330958913869,4,0.5,15,-3.89512,3k,27,-9.10733,9k
0.02818252751940012,3,0.5,36,-8.04065,8k,18,-5.60761,5k
0.38598293724311966,0,0.5,32,2.67442,2d,7,2.49555,1d
0.9999978939541976,4,0.5,7,2.49555,1d,57,-8.5,8k
0.2061588454145639,0,0.5,13,-4.52575,4k,15,-3.89512,3k
0.9875071238415913,4,0.5,13,-4.52575,4k,27,-9.10733,9k
0.11495720997713603,0,0.5,9,2.9606,2d,6,3.88739,3d
0.6964665206894416,0,0.5,17,-4.35011,4k,18,-5.60761,5k
0.0007124056654394676,4,0.5,27,-9.10733,9k,18,-5.60761,5k
0.6964665206894416,0,0.5,17,-4.35011,4k,18,-5.60761,5k
0.9999985007260563,4,0.5,13,-4.52575,4k,26,-14.0601,12k
0.9999853389144129,4,0.5,9,2.9606,2d,13,-4.52575,4k
0.9999999253340552,4,0.5,7,2.49555,1d,36,-8.04065,8k
0.9875071238415913,4,0.5,13,-4.52575,4k,27,-9.10733,9k
0.9999999920228013,4,0.5,7,2.49555,1d,26,-14.0601,12k
0.991203800472621,3,0.5,27,-9.10733,9k,26,-14.0601,12k
0.10970185936940617,0,6.5,19,-4.19872,4k,16,-2.71799,2k
6.843245912137798e-06,4,0.5,19,-4.19872,4k,58,2.5,2d
0.9999999668901693,4,0.5,13,-3.93693,4k,26,-14.1343,14k
0.5734365736153356,2,0.5,16,-2.71799,2k,13,-3.93693,4k
0.9999823491633683,3,0.5,7,2.41261,1d,15,-3.87004,3k
0.5734365736153356,2,0.5,16,-2.71799,2k,13,-3.93693,4k
0.999943605359143,4,0.5,16,-2.71799,2k,27,-9.06574,9k
0.002989749101285265,0,6.5,27,-9.06574,9k,18,-5.8593,5k
0.9999823491633683,3,0.5,7,2.41261,1d,15,-3.87004,3k
2.0738345391773742e-05,4,0.5,27,-9.06574,9k,19,-4.19872,4k
0.8935724714770531,0,0.5,15,-3.87004,3k,18,-5.8593,5k
0.999943605359143,4,0.5,16,-2.71799,2k,27,-9.06574,9k
0.8622322929163921,0,6.5,16,-2.71799,2k,19,-4.19872,4k
0.3975841693465675,0,6.5,19,-4.19872,4k,13,-3.93693,4k
1.9059197175863942e-05,0,6.5,19,-4.19872,4k,58,2.5,2d
2.929589344853063e-06,4,0.5,27,-9.06574,9k,15,-3.87004,3k
1.5279014155803932e-07,4,0.5,13,-3.93693,4k,7,2.41261,1d
0.7975478543098208,2,0.5,15,-3.87004,3k,18,-5.8593,5k
0.97353744777437,3,0.5,14,-2.36098,2k,18,-5.8593,5k
0.9999999668901693,4,0.5,13,-3.93693,4k,26,-14.1343,14k
0.9978533682410515,4,0.5,13,-3.93693,4k,27,-9.06574,9k
0.9999999919331992,4,0.5,16,-2.71799,2k,26,-14.1343,14k
0.9999999914096254,4,0.5,9,3.13235,3d,18,-5.8593,5k
2.929589344853063e-06,4,0.5,27,-9.06574,9k,15,-3.87004,3k
0.9953676436419007,0,6.5,18,-5.8593,5k,27,-9.06574,9k
0.9938499791204617,4,0.5,27,-9.06574,9k,26,-14.1343,14k
0.9991462352872337,3,0.5,10,1.38427,1d,15,-3.87004,3k
2.7697204468559427e-06,3,0.5,15,-3.87004,3k,10,1.38427,1d
0.0037725597889926494,3,0.5,54,-6.45401,4k,69,-1.5,1k
7.674297319387032e-05,3,0.5,27,-8.1972,6k,13,-4.16712,3k
0.3855148432648468,2,0.5,70,-1.5,1k,58,-1.91852,2d
6.13131961783986e-11,7,0.5,20,-4.93546,3k,67,5.5,5d
4.7062494517109325e-07,5,0.5,15,-3.93703,3k,68,3.5,3d
0.9999999920227995,9,0.5,32,2.89716,2d,26,-14.211,7k
0.9201163340544302,2,0.5,49,2.04732,2d,71,-1.5,1k
1.024740703021849e-12,5,0.5,18,-6.1615,5k,7,2.34354,1d
0.9999999826420779,9,0.5,42,7.50095,7d,35,-3.68079,3k
0.9908946593035786,3,0.5,16,-2.51944,2k,57,-8.5002,6k
0.9999999918963745,9,0.5,42,7.50095,7d,20,-4.93546,3k
0.9999909140125685,4,0.5,32,2.89716,2d,15,-3.93703,3k
0.9999076101771068,5,0.5,49,2.04732,2d,54,-6.45401,4k
0.0007671008482863315,4,0.5,18,-6.1615,5k,70,-1.5,1k
0.9997965931050943,4,0.5,16,-2.51944,2k,27,-8.1972,6k
0.999999602056859,7,0.5,67,5.5,5d,13,-4.16712,3k
0.9998089570614787,5,0.5,68,3.5,3d,35,-3.68079,3k
0.3855148432648468,2,0.5,71,-1.5,1k,58,-1.91852,2d
0.991634241599479,7,0.5,69,-1.5,1k,57,-8.5002,6k
3.5747164396147797e-26,7,0.5,26,-14.211,7k,7,2.34354,1d
0.8402469939648823,3,0.5,67,5.5,5d,32,2.89716,2d
0.9999994451141295,5,0.5,49,2.04732,2d,18,-6.1615,5k
0.9999998721755058,8,0.5,42,7.50095,7d,16,-2.51944,2k
0.3956344735274383,0,6.5,13,-4.16712,3k,15,-3.93703,3k
0.9999772542040686,6,0.5,68,3.5,3d,54,-6.45401,4k
0.9198125121961188,2,0.5,69,-1.5,1k,20,-4.93546,3k
0.9999143935439149,0,0.5,27,-8.1972,6k,26,-14.211,7k
0.482969720637183,0,6.5,70,-1.5,1k,71,-1.5,1k
7.625750193402372e-08,3,0.5,35,-3.68079,3k,7,2.34354,1d
0.9920572236523676,7,0.5,58,-1.91852,2d,57,-8.5002,6k
0.00013611741060884749,5,0.5,49,2.04732,2d,42,7.50095,7d
